"name","output","confidence","rect","reason"
"216_千岛湖_玩水互动_裁剪分割__CV022_S010__深度修复.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\216_千岛湖_玩水互动_裁剪分割__CV022_S010__深度修复__裁切废料.mp4","0.7","@{x=0; y=0.0; w=100; h=70.812}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=70.8%（含黑边检测）"
"217_千岛湖_玩水互动_裁剪分割__CV022_S011.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\217_千岛湖_玩水互动_裁剪分割__CV022_S011__裁切废料.mp4","0.82","@{x=0; y=17.9; w=100; h=52.912}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=52.9%（含黑边检测）"
"218_千岛湖_玩水互动_裁剪分割__CV022_S012.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\218_千岛湖_玩水互动_裁剪分割__CV022_S012__裁切废料.mp4","0.86","@{x=0; y=17.9; w=100; h=53.257}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=53.3%（含黑边检测）"
"219_千岛湖_玩水互动_裁剪分割__CV022_S013.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\219_千岛湖_玩水互动_裁剪分割__CV022_S013__裁切废料.mp4","0.86","@{x=0; y=17.9; w=100; h=52.912}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=17.9% h=52.9%（含黑边检测）"
"220_千岛湖_玩水互动_裁剪分割__CV022_S014.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\220_千岛湖_玩水互动_裁剪分割__CV022_S014__裁切废料.mp4","0.58","@{x=0; y=0.0; w=100; h=70.812}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=0.0% h=70.8%（含黑边检测）"
"221_千岛湖_玩水互动_裁剪分割__CV022_S015.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\221_千岛湖_玩水互动_裁剪分割__CV022_S015__裁切废料.mp4","0.86","@{x=0; y=13.592; w=100; h=66.17}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=13.6% h=66.2%（含黑边检测）"
"222_千岛湖_玩水互动_裁剪分割__CV022_S016.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\222_千岛湖_玩水互动_裁剪分割__CV022_S016__裁切废料.mp4","0.86","@{x=0; y=9.983; w=100; h=69.091}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=10.0% h=69.1%（含黑边检测）"
"223_千岛湖_玩水互动_裁剪分割__CV022_S017.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\223_千岛湖_玩水互动_裁剪分割__CV022_S017__裁切废料.mp4","0.7","@{x=0; y=4.819; w=100; h=57.388}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.8% h=57.4%（含黑边检测）"
"224_千岛湖_玩水互动_裁剪分割__CV022_S018.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\224_千岛湖_玩水互动_裁剪分割__CV022_S018__裁切废料.mp4","0.7","@{x=0; y=3.787; w=100; h=76.664}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=3.8% h=76.7%（含黑边检测）"
"225_千岛湖_玩水互动_裁剪分割__CV022_S019.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\225_千岛湖_玩水互动_裁剪分割__CV022_S019__裁切废料.mp4","0.7","@{x=0; y=4.303; w=100; h=66.509}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=4.3% h=66.5%（含黑边检测）"
"226_千岛湖_玩水互动_裁剪分割__CV022_S020.mp4","D:\Download\素材下载\团建视频\千岛湖智能镜头分类\05_项目活动\玩水互动\裁切废料\226_千岛湖_玩水互动_裁剪分割__CV022_S020__裁切废料.mp4","0.7","@{x=0; y=9.462; w=100; h=52.4}","裁剪完成，已输出新素材；原分镜未覆盖；保留区域 y=9.5% h=52.4%（含黑边检测）"
